	Barcodes
A?0383.00 , CV. Plainsman Amaranth	A?0383.00
Ac0384.00 , PI 642741	Ac0384.00
Ac0386.00 , PI 553073	Ac0386.00
Ah0385.00 , PI 481125	Ah0385.00
Ca0001.00 , Ames 29960	Ca0001.00
Ca0002.00 , Ames 29961	Ca0002.00
Ca0003.00 , PI 262168	Ca0003.00
Ca0004.00 , PI 605700	Ca0004.00
Ca0005.00 , PI 605701	Ca0005.00
Ca0006.00 , PI 658735	Ca0006.00
Ca0007.00 , PI 658736	Ca0007.00
Ca0008.00 , PI 658737	Ca0008.00
Ca0009.00 , PI 658738	Ca0009.00
Ca0010.00 , PI 658739	Ca0010.00
Ca0011.00 , PI 658740	Ca0011.00
Ca0012.00 , PI 658741	Ca0012.00
Ca0013.00 , PI 658742	Ca0013.00
Ca0014.00 , PI 658743	Ca0014.00
Ca0015.00 , PI 658746	Ca0015.00
Ca0016.00 , PI 658748	Ca0016.00
Ca0017.00 , PI 666270	Ca0017.00
Ca0018.00 , PI 666271	Ca0018.00
Ca0019.00 , PI 666272	Ca0019.00
Cb0020.00 , PI 595315	Cb0020.00
Cb0021.00 , PI 595316	Cb0021.00
Cb0022.00 , PI 612858	Cb0022.00
Cb0023.00 , PI 666275	Cb0023.00
Cb0024.00 , PI 666277	Cb0024.00
Cb0025.00 , PI 666281	Cb0025.00
Cb0026.00 , PI 666282	Cb0026.00
Cb0027.00 , PI 666283	Cb0027.00
Cb0028.00 , PI 666284	Cb0028.00
Cb0029.00 , PI 666296	Cb0029.00
Cb0030.00 , PI 433229	Cb0030.00
Cb0031.00 , PI 433230	Cb0031.00
Cb0032.00 , PI 433231	Cb0032.00
Cb0033.00 , PI 568155	Cb0033.00
Cb0034.00 , PI 568156	Cb0034.00
Cb0035.00 , PI 666280	Cb0035.00
Cb0036.00 , PI 608030	Cb0036.00
Cb0037.00 , PI 666279	Cb0037.00
Cb0038.00 , PI 658754	Cb0038.00
Cb0039.00 , PI 666274	Cb0039.00
Cb0040.00 , PI 666276	Cb0040.00
Cb0041.00 , PI 666278	Cb0041.00
Cb0042.00 , PI 666285	Cb0042.00
Cb0043.00 , PI 666286	Cb0043.00
Cb0044.00 , PI 666287	Cb0044.00
Cb0045.00 , Ames 29759	Cb0045.00
Cb0046.00 , Ames 29776	Cb0046.00
Cb0047.00 , Ames 29779	Cb0047.00
Cb0048.00 , PI 666288	Cb0048.00
Cb0049.00 , PI 666289	Cb0049.00
Cb0050.00 , PI 666290	Cb0050.00
Cb0051.00 , PI 666291	Cb0051.00
Cb0052.00 , PI 666292	Cb0052.00
Cb0053.00 , PI 666293	Cb0053.00
Cb0054.00 , PI 666294	Cb0054.00
Cb0055.00 , PI 666295	Cb0055.00
Cf0058.00 , PI 666299	Cf0058.00
Cf0059.00 , PI 666300	Cf0059.00
Cg0060.00 , PI 596371	Cg0060.00
Cg0061.00 , PI 596372	Cg0061.00
Cg0382.00 , Ames 19046	Cg0382.00
Ch0062.00 , PI 666310	Ch0062.00
Ch0063.00 , PI 666312	Ch0063.00
Co0056.00 , PI 433378	Co0056.00
Co0057.00 , PI 433379	Co0057.00
Cp0064.00 , PI 478406	Cp0064.00
Cq0001.00 , Ames 13214	Cq0001.00
Cq0002.00 , Ames 13228	Cq0002.00
Cq0003.00 , Ames 13719	Cq0003.00
Cq0004.00 , Ames 13720	Cq0004.00
Cq0005.00 , Ames 13721	Cq0005.00
Cq0006.00 , Ames 13722	Cq0006.00
Cq0007.00 , Ames 13723	Cq0007.00
Cq0008.00 , Ames 13724	Cq0008.00
Cq0009.00 , Ames 13725	Cq0009.00
Cq0010.00 , Ames 13726	Cq0010.00
Cq0011.00 , Ames 13727	Cq0011.00
Cq0012.00 , Ames 13728	Cq0012.00
Cq0013.00 , Ames 13729	Cq0013.00
Cq0014.00 , Ames 13730	Cq0014.00
Cq0015.00 , Ames 13731	Cq0015.00
Cq0016.00 , Ames 13732	Cq0016.00
Cq0017.00 , Ames 13733	Cq0017.00
Cq0018.00 , Ames 13734	Cq0018.00
Cq0019.00 , Ames 13735	Cq0019.00
Cq0020.00 , Ames 13736	Cq0020.00
Cq0021.00 , Ames 13737	Cq0021.00
Cq0022.00 , Ames 13738	Cq0022.00
